,ConcernAspect,Score,Category
117,Concern about climate change,7.0,Extremely
118,Concern about climate change,1.0,Not at all
119,Concern about climate change,5.0,Quite a bit
120,Concern about climate change,6.0,Very much
121,Concern about climate change,5.0,Quite a bit
122,Concern about climate change,5.0,Quite a bit
123,Concern about climate change,6.0,Very much
124,Concern about climate change,5.0,Quite a bit
125,Concern about climate change,6.0,Very much
126,Concern about climate change,3.0,Somewhat
127,Concern about climate change,6.0,Very much
128,Concern about climate change,5.0,Quite a bit
129,Concern about climate change,6.0,Very much
130,Concern about climate change,5.0,Quite a bit
131,Concern about climate change,2.0,Slightly
132,Concern about climate change,7.0,Extremely
133,Concern about climate change,4.0,Moderately
134,Concern about climate change,1.0,Not at all
135,Concern about climate change,5.0,Quite a bit
136,Concern about climate change,6.0,Very much
137,Concern about climate change,7.0,Extremely
138,Concern about climate change,7.0,Extremely
139,Concern about climate change,5.0,Quite a bit
140,Concern about climate change,3.0,Somewhat
141,Concern about climate change,5.0,Quite a bit
142,Concern about climate change,3.0,Somewhat
143,Concern about climate change,3.0,Somewhat
144,Concern about climate change,3.0,Somewhat
145,Concern about climate change,5.0,Quite a bit
146,Concern about climate change,6.0,Very much
147,Concern about climate change,6.0,Very much
148,Concern about climate change,5.0,Quite a bit
149,Concern about climate change,7.0,Extremely
150,Concern about climate change,4.0,Moderately
151,Concern about climate change,4.0,Moderately
152,Concern about climate change,5.0,Quite a bit
153,Concern about climate change,5.0,Quite a bit
154,Concern about climate change,7.0,Extremely
155,Concern about climate change,6.0,Very much
156,Concern about climate change,4.0,Moderately
157,Concern about climate change,6.0,Very much
158,Concern about climate change,7.0,Extremely
159,Concern about climate change,4.0,Moderately
160,Concern about climate change,7.0,Extremely
161,Concern about climate change,6.0,Very much
162,Concern about climate change,5.0,Quite a bit
163,Concern about climate change,7.0,Extremely
164,Concern about climate change,7.0,Extremely
165,Concern about climate change,7.0,Extremely
166,Concern about climate change,5.0,Quite a bit
167,Concern about climate change,6.0,Very much
168,Concern about climate change,6.0,Very much
169,Concern about climate change,6.0,Very much
170,Concern about climate change,6.0,Very much
171,Concern about climate change,4.0,Moderately
172,Concern about climate change,5.0,Quite a bit
173,Concern about climate change,4.0,Moderately
174,Concern about climate change,4.0,Moderately
175,Concern about climate change,5.0,Quite a bit
176,Concern about climate change,5.0,Quite a bit
177,Concern about climate change,6.0,Very much
178,Concern about climate change,3.0,Somewhat
179,Concern about climate change,6.0,Very much
180,Concern about climate change,6.0,Very much
181,Concern about climate change,7.0,Extremely
182,Concern about climate change,5.0,Quite a bit
183,Concern about climate change,6.0,Very much
184,Concern about climate change,5.0,Quite a bit
185,Concern about climate change,4.0,Moderately
186,Concern about climate change,7.0,Extremely
187,Concern about climate change,3.0,Somewhat
188,Concern about climate change,4.0,Moderately
189,Concern about climate change,5.0,Quite a bit
190,Concern about climate change,5.0,Quite a bit
191,Concern about climate change,6.0,Very much
192,Concern about climate change,5.0,Quite a bit
193,Concern about climate change,7.0,Extremely
194,Concern about climate change,7.0,Extremely
195,Concern about climate change,4.0,Moderately
196,Concern about climate change,7.0,Extremely
197,Concern about climate change,7.0,Extremely
198,Concern about climate change,7.0,Extremely
199,Concern about climate change,7.0,Extremely
200,Concern about climate change,5.0,Quite a bit
201,Concern about climate change,1.0,Not at all
202,Concern about climate change,3.0,Somewhat
203,Concern about climate change,7.0,Extremely
204,Concern about climate change,5.0,Quite a bit
205,Concern about climate change,4.0,Moderately
206,Concern about climate change,6.0,Very much
207,Concern about climate change,2.0,Slightly
208,Concern about climate change,6.0,Very much
209,Concern about climate change,7.0,Extremely
210,Concern about climate change,6.0,Very much
211,Concern about climate change,5.0,Quite a bit
212,Concern about climate change,5.0,Quite a bit
213,Concern about climate change,7.0,Extremely
214,Concern about climate change,6.0,Very much
215,Concern about climate change,1.0,Not at all
216,Concern about climate change,6.0,Very much
217,Concern about climate change,7.0,Extremely
218,Concern about climate change,4.0,Moderately
219,Concern about climate change,5.0,Quite a bit
220,Concern about climate change,7.0,Extremely
221,Concern about climate change,7.0,Extremely
222,Concern about climate change,5.0,Quite a bit
223,Concern about climate change,5.0,Quite a bit
224,Concern about climate change,4.0,Moderately
225,Concern about climate change,1.0,Not at all
226,Concern about climate change,5.0,Quite a bit
227,Concern about climate change,5.0,Quite a bit
228,Concern about climate change,7.0,Extremely
229,Concern about climate change,7.0,Extremely
230,Concern about climate change,7.0,Extremely
231,Concern about climate change,3.0,Somewhat
232,Concern about climate change,4.0,Moderately
233,Concern about climate change,2.0,Slightly
234,Concern about climate change,4.0,Moderately
235,Concern about climate change,5.0,Quite a bit
236,Concern about climate change,4.0,Moderately
237,Concern about climate change,5.0,Quite a bit
238,Concern about climate change,7.0,Extremely
239,Concern about climate change,6.0,Very much
240,Concern about climate change,2.0,Slightly
241,Concern about climate change,7.0,Extremely
242,Concern about climate change,4.0,Moderately
243,Concern about climate change,4.0,Moderately
244,Concern about climate change,4.0,Moderately
245,Concern about climate change,7.0,Extremely
246,Concern about climate change,6.0,Very much
247,Concern about climate change,7.0,Extremely
248,Concern about climate change,6.0,Very much
249,Concern about climate change,2.0,Slightly
250,Concern about climate change,6.0,Very much
251,Concern about climate change,3.0,Somewhat
252,Concern about climate change,5.0,Quite a bit
253,Concern about climate change,5.0,Quite a bit
254,Concern about climate change,6.0,Very much
255,Concern about climate change,7.0,Extremely
256,Concern about climate change,6.0,Very much
257,Concern about climate change,4.0,Moderately
258,Concern about climate change,2.0,Slightly
259,Concern about climate change,7.0,Extremely
260,Concern about climate change,4.0,Moderately
261,Concern about climate change,3.0,Somewhat
262,Concern about climate change,4.0,Moderately
263,Concern about climate change,7.0,Extremely
264,Concern about climate change,5.0,Quite a bit
265,Concern about climate change,4.0,Moderately
266,Concern about climate change,6.0,Very much
267,Concern about climate change,7.0,Extremely
268,Concern about climate change,6.0,Very much
269,Concern about climate change,5.0,Quite a bit
270,Concern about climate change,3.0,Somewhat
271,Concern about climate change,6.0,Very much
272,Concern about climate change,4.0,Moderately
273,Concern about climate change,5.0,Quite a bit
274,Concern about climate change,5.0,Quite a bit
275,Concern about climate change,1.0,Not at all
276,Concern about climate change,5.0,Quite a bit
277,Concern about climate change,6.0,Very much
278,Concern about climate change,1.0,Not at all
279,Concern about climate change,5.0,Quite a bit
280,Concern about climate change,5.0,Quite a bit
281,Concern about climate change,7.0,Extremely
282,Concern about climate change,4.0,Moderately
283,Concern about climate change,5.0,Quite a bit
284,Concern about climate change,6.0,Very much
285,Concern about climate change,5.0,Quite a bit
286,Concern about climate change,6.0,Very much
287,Concern about climate change,2.0,Slightly
288,Concern about climate change,2.0,Slightly
289,Concern about climate change,6.0,Very much
290,Concern about climate change,3.0,Somewhat
291,Concern about climate change,4.0,Moderately
292,Concern about climate change,7.0,Extremely
293,Concern about climate change,3.0,Somewhat
294,Concern about climate change,7.0,Extremely
295,Concern about climate change,4.0,Moderately
296,Concern about climate change,4.0,Moderately
297,Concern about climate change,7.0,Extremely
298,Concern about climate change,7.0,Extremely
299,Concern about climate change,5.0,Quite a bit
300,Concern about climate change,5.0,Quite a bit
301,Concern about climate change,5.0,Quite a bit
302,Concern about climate change,6.0,Very much
303,Concern about climate change,4.0,Moderately
304,Concern about climate change,6.0,Very much
305,Concern about climate change,6.0,Very much
306,Concern about climate change,6.0,Very much
307,Concern about climate change,6.0,Very much
308,Concern about climate change,4.0,Moderately
309,Concern about climate change,7.0,Extremely
310,Concern about climate change,4.0,Moderately
311,Concern about climate change,4.0,Moderately
312,Concern about climate change,5.0,Quite a bit
313,Concern about climate change,5.0,Quite a bit
314,Concern about climate change,6.0,Very much
315,Concern about climate change,6.0,Very much
316,Concern about climate change,5.0,Quite a bit
317,Concern about climate change,5.0,Quite a bit
318,Concern about climate change,4.0,Moderately
319,Concern about climate change,5.0,Quite a bit
320,Concern about climate change,5.0,Quite a bit
321,Concern about climate change,7.0,Extremely
322,Concern about climate change,5.0,Quite a bit
323,Concern about climate change,5.0,Quite a bit
324,Concern about climate change,7.0,Extremely
325,Concern about climate change,5.0,Quite a bit
326,Concern about climate change,7.0,Extremely
327,Concern about climate change,7.0,Extremely
328,Concern about climate change,3.0,Somewhat
329,Concern about climate change,4.0,Moderately
330,Concern about climate change,5.0,Quite a bit
331,Concern about climate change,4.0,Moderately
332,Concern about climate change,6.0,Very much
333,Concern about climate change,4.0,Moderately
334,Concern about climate change,5.0,Quite a bit
335,Concern about climate change,7.0,Extremely
336,Concern about climate change,7.0,Extremely
337,Concern about climate change,4.0,Moderately
338,Concern about climate change,7.0,Extremely
339,Concern about climate change,6.0,Very much
340,Concern about climate change,7.0,Extremely
341,Concern about climate change,1.0,Not at all
342,Concern about climate change,5.0,Quite a bit
343,Concern about climate change,4.0,Moderately
344,Concern about climate change,7.0,Extremely
345,Concern about climate change,7.0,Extremely
346,Concern about climate change,3.0,Somewhat
347,Concern about climate change,5.0,Quite a bit
348,Concern about climate change,3.0,Somewhat
349,Concern about climate change,3.0,Somewhat
350,Concern about climate change,2.0,Slightly
351,Concern about climate change,7.0,Extremely
352,Concern about climate change,6.0,Very much
353,Concern about climate change,5.0,Quite a bit
354,Concern about climate change,5.0,Quite a bit
355,Concern about climate change,7.0,Extremely
356,Concern about climate change,5.0,Quite a bit
357,Concern about climate change,6.0,Very much
358,Concern about climate change,3.0,Somewhat
359,Concern about climate change,7.0,Extremely
360,Concern about climate change,4.0,Moderately
361,Concern about climate change,3.0,Somewhat
362,Concern about climate change,4.0,Moderately
363,Concern about climate change,5.0,Quite a bit
364,Concern about climate change,3.0,Somewhat
365,Concern about climate change,4.0,Moderately
366,Concern about climate change,2.0,Slightly
367,Concern about climate change,5.0,Quite a bit
368,Concern about climate change,5.0,Quite a bit
369,Concern about climate change,7.0,Extremely
370,Concern about climate change,5.0,Quite a bit
371,Concern about climate change,7.0,Extremely
372,Concern about climate change,5.0,Quite a bit
373,Concern about climate change,3.0,Somewhat
374,Concern about climate change,5.0,Quite a bit
375,Concern about climate change,6.0,Very much
376,Concern about climate change,2.0,Slightly
377,Concern about climate change,4.0,Moderately
378,Concern about climate change,7.0,Extremely
379,Concern about climate change,7.0,Extremely
380,Concern about climate change,1.0,Not at all
381,Concern about climate change,4.0,Moderately
382,Concern about climate change,5.0,Quite a bit
383,Concern about climate change,1.0,Not at all
384,Concern about climate change,4.0,Moderately
385,Concern about climate change,3.0,Somewhat
386,Concern about climate change,6.0,Very much
387,Concern about climate change,5.0,Quite a bit
388,Concern about climate change,7.0,Extremely
389,Concern about climate change,6.0,Very much
390,Concern about climate change,5.0,Quite a bit
391,Concern about climate change,4.0,Moderately
392,Concern about climate change,5.0,Quite a bit
393,Concern about climate change,6.0,Very much
394,Concern about climate change,2.0,Slightly
395,Concern about climate change,3.0,Somewhat
396,Concern about climate change,5.0,Quite a bit
397,Concern about climate change,7.0,Extremely
398,Concern about climate change,3.0,Somewhat
399,Concern about climate change,3.0,Somewhat
400,Concern about climate change,4.0,Moderately
401,Concern about climate change,4.0,Moderately
402,Concern about climate change,6.0,Very much
403,Concern about climate change,4.0,Moderately
404,Concern about climate change,6.0,Very much
405,Concern about climate change,2.0,Slightly
406,Concern about climate change,7.0,Extremely
407,Concern about climate change,4.0,Moderately
408,Concern about climate change,3.0,Somewhat
409,Concern about climate change,7.0,Extremely
410,Concern about climate change,5.0,Quite a bit
411,Concern about climate change,6.0,Very much
412,Concern about climate change,2.0,Slightly
413,Concern about climate change,3.0,Somewhat
414,Concern about climate change,7.0,Extremely
415,Concern about climate change,5.0,Quite a bit
416,Concern about climate change,7.0,Extremely
417,Concern about climate change,6.0,Very much
418,Concern about climate change,3.0,Somewhat
419,Concern about climate change,7.0,Extremely
420,Concern about climate change,6.0,Very much
421,Concern about climate change,5.0,Quite a bit
422,Concern about climate change,5.0,Quite a bit
423,Concern about climate change,7.0,Extremely
424,Concern about climate change,5.0,Quite a bit
425,Concern about climate change,7.0,Extremely
426,Concern about climate change,5.0,Quite a bit
427,Concern about climate change,3.0,Somewhat
428,Concern about climate change,5.0,Quite a bit
429,Concern about climate change,6.0,Very much
430,Concern about climate change,5.0,Quite a bit
431,Concern about climate change,7.0,Extremely
432,Concern about climate change,5.0,Quite a bit
433,Concern about climate change,3.0,Somewhat
434,Concern about climate change,7.0,Extremely
435,Concern about climate change,6.0,Very much
436,Concern about climate change,4.0,Moderately
437,Concern about climate change,3.0,Somewhat
438,Concern about climate change,5.0,Quite a bit
439,Concern about climate change,6.0,Very much
440,Concern about climate change,6.0,Very much
441,Concern about climate change,6.0,Very much
442,Concern about climate change,6.0,Very much
443,Concern about climate change,4.0,Moderately
444,Concern about climate change,5.0,Quite a bit
445,Concern about climate change,6.0,Very much
446,Concern about climate change,5.0,Quite a bit
447,Concern about climate change,7.0,Extremely
448,Concern about climate change,4.0,Moderately
449,Concern about climate change,2.0,Slightly
450,Concern about climate change,6.0,Very much
451,Concern about climate change,7.0,Extremely
452,Concern about climate change,4.0,Moderately
453,Concern about climate change,6.0,Very much
454,Concern about climate change,5.0,Quite a bit
455,Concern about climate change,7.0,Extremely
456,Concern about climate change,7.0,Extremely
457,Concern about climate change,6.0,Very much
458,Concern about climate change,7.0,Extremely
459,Concern about climate change,5.0,Quite a bit
460,Concern about climate change,7.0,Extremely
461,Concern about climate change,5.0,Quite a bit
462,Concern about climate change,2.0,Slightly
463,Concern about climate change,6.0,Very much
464,Concern about climate change,4.0,Moderately
465,Concern about climate change,6.0,Very much
466,Concern about climate change,7.0,Extremely
467,Concern about climate change,6.0,Very much
468,Concern about climate change,5.0,Quite a bit
469,Concern about climate change,3.0,Somewhat
470,Concern about climate change,5.0,Quite a bit
471,Concern about climate change,6.0,Very much
472,Concern about climate change,4.0,Moderately
473,Concern about climate change,3.0,Somewhat
474,Concern about climate change,4.0,Moderately
475,Concern about climate change,5.0,Quite a bit
476,Concern about climate change,1.0,Not at all
477,Concern about climate change,4.0,Moderately
478,Concern about climate change,7.0,Extremely
479,Concern about climate change,6.0,Very much
480,Concern about climate change,5.0,Quite a bit
481,Concern about climate change,3.0,Somewhat
482,Concern about climate change,4.0,Moderately
483,Concern about climate change,7.0,Extremely
484,Concern about climate change,5.0,Quite a bit
485,Concern about climate change,5.0,Quite a bit
486,Concern about climate change,6.0,Very much
487,Concern about climate change,5.0,Quite a bit
488,Concern about climate change,5.0,Quite a bit
489,Concern about climate change,4.0,Moderately
490,Concern about climate change,6.0,Very much
491,Concern about climate change,7.0,Extremely
492,Concern about climate change,1.0,Not at all
493,Concern about climate change,1.0,Not at all
494,Concern about climate change,7.0,Extremely
495,Concern about climate change,7.0,Extremely
496,Concern about climate change,4.0,Moderately
497,Concern about climate change,5.0,Quite a bit
498,Concern about climate change,7.0,Extremely
499,Concern about climate change,7.0,Extremely
500,Concern about climate change,6.0,Very much
501,Concern about climate change,7.0,Extremely
502,Concern about climate change,6.0,Very much
503,Concern about climate change,6.0,Very much
504,Concern about climate change,5.0,Quite a bit
505,Concern about climate change,6.0,Very much
506,Concern about climate change,7.0,Extremely
507,Concern about climate change,6.0,Very much
508,Concern about climate change,2.0,Slightly
509,Concern about climate change,6.0,Very much
510,Concern about climate change,7.0,Extremely
511,Concern about climate change,6.0,Very much
512,Concern about climate change,5.0,Quite a bit
513,Concern about climate change,5.0,Quite a bit
514,Concern about climate change,5.0,Quite a bit
515,Concern about climate change,5.0,Quite a bit
516,Concern about climate change,5.0,Quite a bit
517,Concern about climate change,6.0,Very much
518,Concern about climate change,4.0,Moderately
519,Concern about climate change,6.0,Very much
520,Concern about climate change,3.0,Somewhat
521,Concern about climate change,7.0,Extremely
522,Concern about climate change,5.0,Quite a bit
523,Concern about climate change,4.0,Moderately
524,Concern about climate change,4.0,Moderately
525,Concern about climate change,5.0,Quite a bit
526,Concern about climate change,6.0,Very much
527,Concern about climate change,4.0,Moderately
528,Concern about climate change,6.0,Very much
529,Concern about climate change,5.0,Quite a bit
530,Concern about climate change,6.0,Very much
531,Concern about climate change,7.0,Extremely
532,Concern about climate change,6.0,Very much
533,Concern about climate change,4.0,Moderately
534,Concern about climate change,5.0,Quite a bit
535,Concern about climate change,2.0,Slightly
536,Concern about climate change,4.0,Moderately
537,Concern about climate change,4.0,Moderately
538,Concern about climate change,7.0,Extremely
539,Concern about climate change,4.0,Moderately
540,Concern about climate change,7.0,Extremely
541,Concern about climate change,7.0,Extremely
542,Concern about climate change,7.0,Extremely
543,Concern about climate change,7.0,Extremely
544,Concern about climate change,5.0,Quite a bit
545,Concern about climate change,5.0,Quite a bit
546,Concern about climate change,7.0,Extremely
547,Concern about climate change,7.0,Extremely
548,Concern about climate change,2.0,Slightly
549,Concern about climate change,6.0,Very much
550,Concern about climate change,6.0,Very much
551,Concern about climate change,5.0,Quite a bit
552,Concern about climate change,7.0,Extremely
553,Concern about climate change,3.0,Somewhat
554,Concern about climate change,2.0,Slightly
555,Concern about climate change,7.0,Extremely
556,Concern about climate change,5.0,Quite a bit
557,Concern about climate change,7.0,Extremely
558,Concern about climate change,4.0,Moderately
559,Concern about climate change,5.0,Quite a bit
560,Concern about climate change,7.0,Extremely
561,Concern about climate change,3.0,Somewhat
562,Concern about climate change,7.0,Extremely
563,Concern about climate change,7.0,Extremely
564,Concern about climate change,7.0,Extremely
565,Concern about climate change,7.0,Extremely
566,Concern about climate change,6.0,Very much
567,Concern about climate change,6.0,Very much
568,Concern about climate change,7.0,Extremely
569,Concern about climate change,7.0,Extremely
570,Concern about climate change,4.0,Moderately
571,Concern about climate change,5.0,Quite a bit
572,Concern about climate change,7.0,Extremely
573,Concern about climate change,7.0,Extremely
574,Concern about climate change,6.0,Very much
575,Concern about climate change,5.0,Quite a bit
576,Concern about climate change,5.0,Quite a bit
577,Concern about climate change,5.0,Quite a bit
578,Concern about climate change,6.0,Very much
579,Concern about climate change,5.0,Quite a bit
580,Concern about climate change,3.0,Somewhat
581,Concern about climate change,7.0,Extremely
582,Concern about climate change,7.0,Extremely
583,Concern about climate change,2.0,Slightly
584,Concern about climate change,2.0,Slightly
585,Concern about climate change,7.0,Extremely
586,Concern about climate change,2.0,Slightly
587,Concern about climate change,5.0,Quite a bit
588,Concern about climate change,7.0,Extremely
589,Concern about climate change,7.0,Extremely
590,Concern about climate change,6.0,Very much
591,Concern about climate change,1.0,Not at all
592,Concern about climate change,5.0,Quite a bit
593,Concern about climate change,7.0,Extremely
594,Concern about climate change,7.0,Extremely
595,Concern about climate change,4.0,Moderately
596,Concern about climate change,4.0,Moderately
597,Concern about climate change,7.0,Extremely
598,Concern about climate change,4.0,Moderately
599,Concern about climate change,4.0,Moderately
600,Concern about climate change,4.0,Moderately
601,Concern about climate change,5.0,Quite a bit
602,Concern about climate change,6.0,Very much
603,Concern about climate change,3.0,Somewhat
604,Concern about climate change,7.0,Extremely
605,Concern about climate change,7.0,Extremely
606,Concern about climate change,5.0,Quite a bit
607,Concern about climate change,6.0,Very much
608,Concern about climate change,5.0,Quite a bit
609,Concern about climate change,7.0,Extremely
610,Concern about climate change,6.0,Very much
611,Concern about climate change,2.0,Slightly
612,Concern about climate change,5.0,Quite a bit
613,Concern about climate change,5.0,Quite a bit
614,Concern about climate change,5.0,Quite a bit
615,Concern about climate change,7.0,Extremely
616,Concern about climate change,6.0,Very much
617,Concern about climate change,4.0,Moderately
618,Concern about climate change,5.0,Quite a bit
619,Concern about climate change,4.0,Moderately
620,Concern about climate change,5.0,Quite a bit
621,Concern about climate change,6.0,Very much
622,Concern about climate change,5.0,Quite a bit
623,Concern about climate change,6.0,Very much
624,Concern about climate change,3.0,Somewhat
625,Concern about climate change,6.0,Very much
626,Concern about climate change,3.0,Somewhat
627,Concern about climate change,6.0,Very much
628,Concern about climate change,3.0,Somewhat
629,Concern about climate change,5.0,Quite a bit
630,Concern about climate change,7.0,Extremely
631,Concern about climate change,7.0,Extremely
632,Concern about climate change,5.0,Quite a bit
633,Concern about climate change,7.0,Extremely
634,Concern about climate change,6.0,Very much
635,Concern about climate change,7.0,Extremely
636,Problems balancing sustainability and family needs,3.0,Somewhat
637,Problems balancing sustainability and family needs,3.0,Somewhat
638,Problems balancing sustainability and family needs,4.0,Moderately
639,Problems balancing sustainability and family needs,4.0,Moderately
640,Problems balancing sustainability and family needs,3.0,Somewhat
641,Problems balancing sustainability and family needs,5.0,Quite a bit
642,Problems balancing sustainability and family needs,4.0,Moderately
643,Problems balancing sustainability and family needs,2.0,Slightly
644,Problems balancing sustainability and family needs,5.0,Quite a bit
645,Problems balancing sustainability and family needs,2.0,Slightly
646,Problems balancing sustainability and family needs,6.0,Very much
647,Problems balancing sustainability and family needs,1.0,Not at all
648,Problems balancing sustainability and family needs,5.0,Quite a bit
649,Problems balancing sustainability and family needs,2.0,Slightly
650,Problems balancing sustainability and family needs,3.0,Somewhat
651,Problems balancing sustainability and family needs,3.0,Somewhat
652,Problems balancing sustainability and family needs,5.0,Quite a bit
653,Problems balancing sustainability and family needs,5.0,Quite a bit
654,Problems balancing sustainability and family needs,1.0,Not at all
655,Problems balancing sustainability and family needs,5.0,Quite a bit
656,Problems balancing sustainability and family needs,6.0,Very much
657,Problems balancing sustainability and family needs,4.0,Moderately
658,Problems balancing sustainability and family needs,1.0,Not at all
659,Problems balancing sustainability and family needs,3.0,Somewhat
660,Problems balancing sustainability and family needs,5.0,Quite a bit
661,Problems balancing sustainability and family needs,4.0,Moderately
662,Problems balancing sustainability and family needs,1.0,Not at all
663,Problems balancing sustainability and family needs,3.0,Somewhat
664,Problems balancing sustainability and family needs,4.0,Moderately
665,Problems balancing sustainability and family needs,1.0,Not at all
666,Problems balancing sustainability and family needs,3.0,Somewhat
667,Problems balancing sustainability and family needs,3.0,Somewhat
668,Problems balancing sustainability and family needs,4.0,Moderately
669,Problems balancing sustainability and family needs,4.0,Moderately
670,Problems balancing sustainability and family needs,3.0,Somewhat
671,Problems balancing sustainability and family needs,4.0,Moderately
672,Problems balancing sustainability and family needs,3.0,Somewhat
673,Problems balancing sustainability and family needs,4.0,Moderately
674,Problems balancing sustainability and family needs,2.0,Slightly
675,Problems balancing sustainability and family needs,2.0,Slightly
676,Problems balancing sustainability and family needs,2.0,Slightly
677,Problems balancing sustainability and family needs,1.0,Not at all
678,Problems balancing sustainability and family needs,6.0,Very much
679,Problems balancing sustainability and family needs,3.0,Somewhat
680,Problems balancing sustainability and family needs,6.0,Very much
681,Problems balancing sustainability and family needs,3.0,Somewhat
682,Problems balancing sustainability and family needs,4.0,Moderately
683,Problems balancing sustainability and family needs,4.0,Moderately
684,Problems balancing sustainability and family needs,1.0,Not at all
685,Problems balancing sustainability and family needs,6.0,Very much
686,Problems balancing sustainability and family needs,1.0,Not at all
687,Problems balancing sustainability and family needs,4.0,Moderately
688,Problems balancing sustainability and family needs,4.0,Moderately
689,Problems balancing sustainability and family needs,2.0,Slightly
690,Problems balancing sustainability and family needs,3.0,Somewhat
691,Problems balancing sustainability and family needs,5.0,Quite a bit
692,Problems balancing sustainability and family needs,1.0,Not at all
693,Problems balancing sustainability and family needs,4.0,Moderately
694,Problems balancing sustainability and family needs,4.0,Moderately
695,Problems balancing sustainability and family needs,2.0,Slightly
696,Problems balancing sustainability and family needs,3.0,Somewhat
697,Problems balancing sustainability and family needs,5.0,Quite a bit
